	state_client_id	block_1
3697	NJ_576	63
3698	NJ_577	14
3699	NJ_578	
3703	NJ_579	
3705	NJ_580	
3712	NJ_581	
3713	NJ_582	
3715	NJ_583	14
3716	NJ_584	14
3717	NJ_585	
3723	NJ_586	14
3725	NJ_587	12
3727	NJ_588	14
3733	NJ_589	
3745	NJ_590	32
3748	NJ_591	102
3750	NJ_592	14
3753	NJ_593	45
3761	NJ_594	20
3768	NJ_595	20
3777	NJ_596	
3785	NJ_597	22
3786	NJ_598	91
3790	NJ_599	
3802	NJ_600	32
3812	NJ_601	14
3823	NJ_602	
3826	NJ_603	
3827	NJ_604	
3832	NJ_605	63
3834	NJ_606	
3835	NJ_607	
3846	NJ_608	14
3851	NJ_609	
3853	NJ_610	
3861	NJ_611	2
3862	NJ_612	
3871	NJ_613	76
3873	NJ_614	44
3893	NJ_615	
3894	NJ_616	
3896	NJ_617	
3921	NJ_618	
3939	NJ_619	38
3950	NJ_620	87
3973	NJ_621	76
3981	NJ_622	91
3993	NJ_623	
3994	NJ_624	
3996	NJ_625	91
4000	NJ_626	
4001	NJ_627	
4004	NJ_628	
4011	NJ_629	
4012	NJ_630	
4013	NJ_631	
4014	NJ_632	
4017	NJ_633	
4022	NJ_634	52
4023	NJ_635	
4026	NJ_636	52
4028	NJ_637	
4030	NJ_638	
4033	NJ_639	87
4037	NJ_640	52
4066	NJ_641	
4067	NJ_642	
4068	NJ_643	
4069	NJ_644	
4071	NJ_645	
4080	NJ_646	52
4081	NJ_647	
4091	NJ_648	
4092	NJ_649	
4093	NJ_650	
4094	NJ_651	
4095	NJ_652	
4096	NJ_653	76
4099	NJ_654	
4100	NJ_655	
4106	NJ_656	
4113	NJ_657	51
4114	NJ_658	22
4115	NJ_659	
4116	NJ_660	91
4117	NJ_661	
4118	NJ_662	91
4122	NJ_663	44
4123	NJ_664	
4124	NJ_665	51
4126	NJ_666	
4133	NJ_667	
4136	NJ_668	
4137	NJ_669	51
4144	NJ_670	91
4147	NJ_671	
4150	NJ_672	51
4158	NJ_673	
4167	NJ_674	
4171	NJ_675	
4183	NJ_676	
4195	NJ_677	2
4199	NJ_678	
4206	NJ_679	
4230	NJ_680	
4256	NJ_681	
4261	NJ_682	52
4262	NJ_683	
4263	NJ_684	
4281	NJ_685	
4282	NJ_686	
4284	NJ_687	
4285	NJ_688	
4287	NJ_689	
4289	NJ_690	
4290	NJ_691	
4293	NJ_692	
4298	NJ_693	
4315	NJ_694	
4317	NJ_695	
4328	NJ_696	
4354	NJ_697	
4363	NJ_698	
4365	NJ_699	
4373	NJ_700	
4374	NJ_701	
4378	NJ_702	
4395	NJ_703	
4398	NJ_704	76
4399	NJ_705	76
4400	NJ_706	
4438	NJ_707	
4440	NJ_708	
4443	NJ_709	
4452	NJ_710	
4466	NJ_711	102
4471	NJ_712	
4503	NJ_713	
4542	NJ_714	
4580	NJ_715	
4582	NJ_716	
4591	NJ_717	
4609	NJ_718	
4617	NJ_719	
4619	NJ_720	32
4630	NJ_721	76
4638	NJ_722	52
4644	NJ_723	
4645	NJ_724	
4647	NJ_725	
4651	NJ_726	
4665	NJ_727	
4673	NJ_728	
4674	NJ_729	
4677	NJ_730	
4678	NJ_731	2
4679	NJ_732	2
4686	NJ_733	
4709	NJ_734	38
4713	NJ_735	
4733	NJ_736	
4735	NJ_737	
4739	NJ_738	
4749	NJ_739	
4767	NJ_740	
4773	NJ_741	
4779	NJ_742	
4787	NJ_743	
4789	NJ_744	
4801	NJ_745	13
4805	NJ_746	
4808	NJ_747	
4818	NJ_748	
4843	NJ_749	
4852	NJ_750	
4864	NJ_751	76
4874	NJ_752	
4882	NJ_753	
4885	NJ_754	
4939	NJ_755	
4943	NJ_756	51
4949	NJ_757	22
4983	NJ_758	
4984	NJ_759	
4992	NJ_760	32
5000	NJ_761	
5004	NJ_762	
5007	NJ_763	
5008	NJ_764	38
5017	NJ_765	
5032	NJ_766	22
5067	NJ_767	
5091	NJ_768	
5092	NJ_769	22
5107	NJ_770	
5112	NJ_771	20
5121	NJ_772	
5128	NJ_773	
5131	NJ_774	
5134	NJ_775	
5158	NJ_776	
5181	NJ_777	
5187	NJ_778	
5191	NJ_779	
5198	NJ_780	
5202	NJ_781	
5204	NJ_782	
5205	NJ_783	
5206	NJ_784	
5207	NJ_785	
5209	NJ_786	14
5212	NJ_787	14
5222	NJ_788	52
5230	NJ_789	
5248	NJ_790	
5252	NJ_791	
5262	NJ_792	
5270	NJ_793	63
5286	NJ_794	
5301	NJ_795	20
5302	NJ_796	58
5303	NJ_797	
5307	NJ_798	
5308	NJ_799	
5310	NJ_800	
5318	NJ_801	63
5322	NJ_802	
5339	NJ_803	
5341	NJ_804	32
5344	NJ_805	
5345	NJ_806	
5349	NJ_807	63
5359	NJ_808	
5365	NJ_809	12
5374	NJ_810	
5377	NJ_811	
5384	NJ_812	
5405	NJ_813	
5438	NJ_814	
5444	NJ_815	
5452	NJ_816	
5455	NJ_817	
5473	NJ_818	
5482	NJ_819	
5489	NJ_820	
5511	NJ_821	
5533	NJ_822	12
5543	NJ_823	
5561	NJ_824	
5564	NJ_825	
5602	NJ_826	
5617	NJ_827	
5628	NJ_828	
5631	NJ_829	
5639	NJ_830	
5642	NJ_831	
5643	NJ_832	13
5644	NJ_833	
5650	NJ_834	
5651	NJ_835	
5656	NJ_836	32
5689	NJ_837	2
5693	NJ_838	32
5697	NJ_839	
5705	NJ_840	
5706	NJ_841	
5708	NJ_842	
5760	NJ_843	91
5790	NJ_844	
5791	NJ_845	
5804	NJ_846	
5808	NJ_847	
5809	NJ_848	32
5830	NJ_849	32
5844	NJ_850	
5845	NJ_851	
5846	NJ_852	76
5872	NJ_853	32
5877	NJ_854	
5880	NJ_855	
5881	NJ_856	
5894	NJ_857	
5895	NJ_858	
5899	NJ_859	
5904	NJ_860	
5924	NJ_861	
5929	NJ_862	
5937	NJ_863	12
5944	NJ_864	
5951	NJ_865	
5953	NJ_866	
5957	NJ_867	
5967	NJ_868	
5977	NJ_869	
5978	NJ_870	
5980	NJ_871	
5981	NJ_872	
5983	NJ_873	
6000	NJ_874	
6001	NJ_875	
6004	NJ_876	
6011	NJ_877	
6021	NJ_878	
6046	NJ_879	
6047	NJ_880	76
6049	NJ_881	
6054	NJ_882	
6055	NJ_883	
6057	NJ_884	
6058	NJ_885	
6083	NJ_886	
6084	NJ_887	
6086	NJ_888	
6090	NJ_889	
6094	NJ_890	
6104	NJ_891	
6118	NJ_892	
6128	NJ_893	
6141	NJ_894	87
6143	NJ_895	
6149	NJ_896	
6154	NJ_897	
6156	NJ_898	
6158	NJ_899	
6159	NJ_900	
6181	NJ_901	
6185	NJ_902	
6193	NJ_903	2
6196	NJ_904	
6222	NJ_905	
6223	NJ_906	
6226	NJ_907	
6232	NJ_908	
6267	NJ_909	
6282	NJ_910	
6293	NJ_911	
6302	NJ_912	
6310	NJ_913	
6311	NJ_914	
6325	NJ_915	
6331	NJ_916	38
6333	NJ_917	
6334	NJ_918	
6335	NJ_919	
6342	NJ_920	
6390	NJ_921	
6417	NJ_922	
6427	NJ_923	
6431	NJ_924	
6439	NJ_925	76
6443	NJ_926	
6495	NJ_927	
6499	NJ_928	
6523	NJ_929	102
6532	NJ_930	102
6533	NJ_931	91
6550	NJ_932	38
6556	NJ_933	38
6561	NJ_934	
6595	NJ_935	
6596	NJ_936	
6603	NJ_937	
6637	NJ_938	
6657	NJ_939	
6679	NJ_940	
6681	NJ_941	
6689	NJ_942	
6693	NJ_943	51
6783	NJ_944	
6789	NJ_945	
6801	NJ_946	
6817	NJ_947	
6822	NJ_948	
6823	NJ_949	
6876	NJ_950	91
6883	NJ_951	
6909	NJ_952	
6921	NJ_953	
6924	NJ_954	
6946	NJ_955	91
6962	NJ_956	
7096	NJ_957	
7132	NJ_958	
7168	NJ_959	91
7182	NJ_960	
7216	NJ_961	51
7222	NJ_962	
7262	NJ_963	51
7264	NJ_964	
7307	NJ_965	
7341	NJ_966	
7350	NJ_967	102
7360	NJ_968	22
7378	NJ_969	
7401	NJ_970	
7402	NJ_971	
7410	NJ_972	
7425	NJ_973	22
7435	NJ_974	
7513	NJ_975	
7570	NJ_976	44
7595	NJ_977	
7603	NJ_978	
7623	NJ_979	
7633	NJ_980	102
7658	NJ_981	
7673	NJ_982	51
7689	NJ_983	
7772	NJ_984	
7936	NJ_985	
7966	NJ_986	
7999	NJ_987	
8024	NJ_988	
8038	NJ_989	
8045	NJ_990	
8052	NJ_991	
8062	NJ_992	
8136	NJ_993	
8143	NJ_994	
8188	NJ_995	
8213	NJ_996	
8247	NJ_997	
8248	NJ_998	
8259	NJ_999	
8448	NJ_1000	
8463	NJ_1001	
8544	NJ_1002	2
8546	NJ_1003	
8548	NJ_1004	38
8550	NJ_1005	
8557	NJ_1006	102
8566	NJ_1007	
8570	NJ_1008	
8572	NJ_1009	
8577	NJ_1010	
8607	NJ_1011	
8615	NJ_1012	63
8616	NJ_1013	
8618	NJ_1014	
8620	NJ_1015	
8621	NJ_1016	
8622	NJ_1017	
8623	NJ_1018	
8629	NJ_1019	14
8642	NJ_1020	
8644	NJ_1021	63
8649	NJ_1022	
8650	NJ_1023	
8652	NJ_1024	
8653	NJ_1025	63
8654	NJ_1026	
8659	NJ_1027	
8660	NJ_1028	
8662	NJ_1029	
8678	NJ_1030	
8683	NJ_1031	
8696	NJ_1032	
8701	NJ_1033	
8703	NJ_1034	
8704	NJ_1035	
8706	NJ_1036	63
8707	NJ_1037	63
8710	NJ_1038	
8717	NJ_1039	
8718	NJ_1040	
8719	NJ_1041	
8720	NJ_1042	14
8754	NJ_1043	
8755	NJ_1044	
8770	NJ_1045	
8772	NJ_1046	
8777	NJ_1047	38
8783	NJ_1048	63
8784	NJ_1049	
8786	NJ_1050	
8802	NJ_1051	
8803	NJ_1052	
8805	NJ_1053	
8812	NJ_1054	38
8813	NJ_1055	
8828	NJ_1056	
8829	NJ_1057	
8833	NJ_1058	
8836	NJ_1059	
8837	NJ_1060	
8845	NJ_1061	52
8847	NJ_1062	38
8850	NJ_1063	
8856	NJ_1064	
8859	NJ_1065	
8860	NJ_1066	20
8866	NJ_1067	
8867	NJ_1068	
8868	NJ_1069	
8872	NJ_1070	63
8874	NJ_1071	63
8877	NJ_1072	
8878	NJ_1073	
8879	NJ_1074	
8922	NJ_1075	38
8943	NJ_1076	
8948	NJ_1077	
8964	NJ_1078	
8982	NJ_1079	
8987	NJ_1080	
8989	NJ_1081	
8990	NJ_1082	
8994	NJ_1083	
8996	NJ_1084	
8997	NJ_1085	
9002	NJ_1086	
9005	NJ_1087	
9012	NJ_1088	
9018	NJ_1089	
9027	NJ_1090	
9036	NJ_1091	
9039	NJ_1092	
9047	NJ_1093	
9050	NJ_1094	2
9057	NJ_1095	
9058	NJ_1096	63
9062	NJ_1097	
9093	NJ_1098	
9116	NJ_1099	
9133	NJ_1100	
9152	NJ_1101	
9165	NJ_1102	
9166	NJ_1103	
9179	NJ_1104	
9200	NJ_1105	
9212	NJ_1106	
9225	NJ_1107	
9239	NJ_1108	
9242	NJ_1109	
9297	NJ_1110	
9299	NJ_1111	
9324	NJ_1112	12
9354	NJ_1113	
9363	NJ_1114	38
9368	NJ_1115	
9383	NJ_1116	38
9389	NJ_1117	
9394	NJ_1118	
9398	NJ_1119	
9417	NJ_1120	38
9419	NJ_1121	
9423	NJ_1122	
9430	NJ_1123	
9433	NJ_1124	
9434	NJ_1125	
9447	NJ_1126	
9462	NJ_1127	58
9485	NJ_1128	
9501	NJ_1129	
9509	NJ_1130	
9526	NJ_1131	38
9530	NJ_1132	
9574	NJ_1133	
9592	NJ_1134	38
9602	NJ_1135	
9603	NJ_1136	
9613	NJ_1137	
9616	NJ_1138	
9626	NJ_1139	
9627	NJ_1140	
9634	NJ_1141	
9636	NJ_1142	
9657	NJ_1143	
9671	NJ_1144	
9693	NJ_1145	
9694	NJ_1146	
9695	NJ_1147	
9697	NJ_1148	
9699	NJ_1149	12
9702	NJ_1150	38
9711	NJ_1151	
9721	NJ_1152	
9731	NJ_1153	
9735	NJ_1154	
9740	NJ_1155	
9761	NJ_1156	32
9768	NJ_1157	
9770	NJ_1158	8
9783	NJ_1159	
9820	NJ_1160	
9821	NJ_1161	38
9829	NJ_1162	
9830	NJ_1163	38
9838	NJ_1164	
9845	NJ_1165	
9846	NJ_1166	
9853	NJ_1167	
9875	NJ_1168	38
9891	NJ_1169	
9909	NJ_1170	
9918	NJ_1171	14
9945	NJ_1172	
9946	NJ_1173	
9962	NJ_1174	
9975	NJ_1175	
9978	NJ_1176	
9985	NJ_1177	32
9991	NJ_1178	
9999	NJ_1179	
10014	NJ_1180	
10019	NJ_1181	
10026	NJ_1182	
10037	NJ_1183	
10055	NJ_1184	
10092	NJ_1185	
10094	NJ_1186	
10132	NJ_1187	
10140	NJ_1188	
10150	NJ_1189	63
10169	NJ_1190	38
10188	NJ_1191	
10191	NJ_1192	32
10193	NJ_1193	
10247	NJ_1194	
10253	NJ_1195	
10309	NJ_1196	
10326	NJ_1197	
10340	NJ_1198	
10349	NJ_1199	
10380	NJ_1200	
10385	NJ_1201	
10398	NJ_1202	
10402	NJ_1203	
10419	NJ_1204	
10421	NJ_1205	
10422	NJ_1206	51
10429	NJ_1207	
10431	NJ_1208	
10450	NJ_1209	
10543	NJ_1210	
10560	NJ_1211	
10569	NJ_1212	
10570	NJ_1213	
10585	NJ_1214	
10588	NJ_1215	
10592	NJ_1216	
10594	NJ_1217	
10596	NJ_1218	
10599	NJ_1219	
10600	NJ_1220	2
10603	NJ_1221	
10604	NJ_1222	
10618	NJ_1223	
10619	NJ_1224	
10628	NJ_1225	
10631	NJ_1226	
10635	NJ_1227	
10653	NJ_1228	
10656	NJ_1229	
10664	NJ_1230	
10672	NJ_1231	76
10675	NJ_1232	
10688	NJ_1233	
10718	NJ_1234	
10725	NJ_1235	52
10735	NJ_1236	
10740	NJ_1237	76
10742	NJ_1238	13
10747	NJ_1239	13
10775	NJ_1240	76
10777	NJ_1241	
10778	NJ_1242	
10786	NJ_1243	
10794	NJ_1244	
10809	NJ_1245	76
10812	NJ_1246	
10816	NJ_1247	13
10821	NJ_1248	
10823	NJ_1249	
10837	NJ_1250	
10840	NJ_1251	
10860	NJ_1252	
10865	NJ_1253	
10867	NJ_1254	
10868	NJ_1255	
10871	NJ_1256	
10872	NJ_1257	
10873	NJ_1258	
10877	NJ_1259	
10881	NJ_1260	
10887	NJ_1261	
10891	NJ_1262	
10893	NJ_1263	
10898	NJ_1264	
10904	NJ_1265	
10918	NJ_1266	
10942	NJ_1267	87
10943	NJ_1268	
10950	NJ_1269	13
10958	NJ_1270	
10982	NJ_1271	
10992	NJ_1272	
10998	NJ_1273	
11009	NJ_1274	
11015	NJ_1275	52
11017	NJ_1276	52
11043	NJ_1277	
11053	NJ_1278	2
11070	NJ_1279	
11071	NJ_1280	
11084	NJ_1281	
11094	NJ_1282	
11140	NJ_1283	
11145	NJ_1284	
11148	NJ_1285	
11149	NJ_1286	
11155	NJ_1287	
11158	NJ_1288	
11159	NJ_1289	
11160	NJ_1290	
11161	NJ_1291	
11164	NJ_1292	
11168	NJ_1293	
11173	NJ_1294	
11175	NJ_1295	
11187	NJ_1296	45
11192	NJ_1297	13
11195	NJ_1298	
11208	NJ_1299	
11210	NJ_1300	
11225	NJ_1301	87
11235	NJ_1302	
11238	NJ_1303	
11240	NJ_1304	
11241	NJ_1305	
11255	NJ_1306	
11258	NJ_1307	
11267	NJ_1308	102
11278	NJ_1309	
11286	NJ_1310	
11308	NJ_1311	102
11348	NJ_1312	13
11402	NJ_1313	
11406	NJ_1314	
11411	NJ_1315	
11414	NJ_1316	
11415	NJ_1317	
11422	NJ_1318	
11435	NJ_1319	
11440	NJ_1320	
11451	NJ_1321	
11456	NJ_1322	52
11458	NJ_1323	
11461	NJ_1324	
11465	NJ_1325	
11470	NJ_1326	
11481	NJ_1327	
11485	NJ_1328	
11497	NJ_1329	
11498	NJ_1330	
11500	NJ_1331	
11515	NJ_1332	
11531	NJ_1333	51
11539	NJ_1334	
11581	NJ_1335	102
11601	NJ_1336	
11616	NJ_1337	
11647	NJ_1338	
11653	NJ_1339	
11654	NJ_1340	
11659	NJ_1341	
11662	NJ_1342	
